company,role,date,status,track,geo,level,sponsor_ok,priority,reason,outreach_play
EarnIn,Software Engineer,2026-09-17,received,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
BIP AI LAB,Junior Data Engineer,2026-09-17,received,data_engineering,EU,new_grad,True,LOW,geo mismatch (EU),—
Headlands Technologies,Quant/SWE,2026-09-17,received,quant_trading,US,unknown,True,LOW,off-track (quant/trading),—
UDig,Consulting (Data),2026-09-17,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Reply,AI/Machine Learning Intern,2026-09-17,received,ai_ml_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Jane Street,SWE / Trading,2026-09-17,rejected,quant_trading,US,unknown,True,LOW,off-track (quant/trading),—
Cartesian Systems,Software Engineer,2026-09-17,received,quant_trading,US,unknown,True,LOW,off-track (quant/trading),—
Coram AI,Graduate Software Engineer,2026-09-17,received,software_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Itential,Software Engineer,2026-09-17,received,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Emergent Labs,Software Engineer,2026-09-17,received,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Jabil,Supply Chain Data Analyst Intern,2026-09-16,rejected,data_science,US,intern,True,SKIP,already rejected,—
Brivo,Software Engineer - New Grad,2026-09-16,rejected,software_engineering,US,new_grad,True,SKIP,already rejected,—
Quantbot,Data Trading Analyst Summer Intern 2027 (NY),2026-09-16,rejected,quant_trading,US,intern,True,SKIP,already rejected,—
Red Bull,Internship Data Science,2026-09-16,received,data_science,US,intern,True,MED,live but track=data_science,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
NISC,Intern - Software Dev (AI),2026-09-16,received,ai_ml_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
NielsenIQ,Software Engineer (AI),2026-09-16,received,ai_ml_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
N-iX,Trainee AI Engineer,2026-09-16,received,ai_ml_engineering,EU,intern,True,LOW,geo mismatch (EU),—
Optimove,Customer Data Engineer,2026-09-16,received,data_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Texas Instruments,IT Intern - Data Engineering,2026-09-16,received,data_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Gomry,Silicon Valley Fellowship,2026-09-15,rejected,other,US,intern,True,SKIP,already rejected,—
Cherry Technologies,"Software Engineer, Entry-Level",2026-09-15,received,software_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Securian Financial,Engineering Internship Summer 2027,2026-09-15,rejected,other,US,intern,True,SKIP,already rejected,—
American Express,Campus FT Software Engineer 2027 (UK),2026-09-15,received,software_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
American Express,Campus Intern Undergrad AI Engineer 2027 (UK),2026-09-15,received,ai_ml_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Healthesystems,Thank you for applying to Healthesystems,2026-09-19,received,other,Remote-US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Greenhouse-mail,Thank You for Applying to AI-Native Software Engineer (New Grad) | Study.com,2026-09-19,received,ai_ml_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Exlservice,Your recent job application for Data Engineer - 20370,2026-09-19,received,data_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Workflow,Your recent job application for Data & AI - Stage - 2485,2026-09-19,received,other,EU,intern,True,LOW,geo mismatch (EU),—
Scale,Thank you for your interest with Scale AI,2026-09-18,rejected,software_engineering,US,intern,True,SKIP,already rejected,—
Captechcareers,Thank You for Applying!,2026-09-18,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
the TECH Futures Intern job,MITRE: Thank you for applying to the TECH Futures Intern job,2026-09-18,received,other,US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Workflow,We received your job application (Job Number: 210774111),2026-09-18,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Talent,Thank You for Applying to SimVentions!,2026-09-18,received,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Smartrecruiters,NCS Careers - We have received your application for #EG Junior Data Engineer (Databricks),2026-09-18,received,data_engineering,Singapore,new_grad,True,LOW,geo mismatch (Singapore),—
Gmfinancial,Your recent job application for Intern - Technology Innovation Lab - 260826,2026-09-18,received,other,US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Vml,Thank You for Applying to VML MAP!,2026-09-18,received,data_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Smartrecruiters,NCS Careers - We have received your application for #EG Junior Data Scientist,2026-09-18,received,data_science,Singapore,new_grad,True,LOW,geo mismatch (Singapore),—
Bah,Thank you for applying,2026-09-17,received,data_science,US,new_grad,True,MED,live but track=data_science,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Workflow,Your recent job application for Junior Data Scientist – BIP AI LAB - 2454,2026-09-17,received,ai_ml_engineering,EU,new_grad,True,LOW,geo mismatch (EU),—
EarnIn,Thank you for applying to EarnIn!,2026-09-17,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Workflow,Your recent job application for Junior Data Engineer – BIP AI LAB - 2451,2026-09-17,received,data_engineering,EU,new_grad,True,LOW,geo mismatch (EU),—
Headlands Technologies LLC,Thank you for applying to Headlands Technologies LLC,2026-09-17,received,quant_trading,US,unknown,True,LOW,off-track (quant/trading),—
Paylocity,Thank you for applying!,2026-09-17,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Emergent Labs,Thank you for applying to Emergent Labs,2026-09-17,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
NTT DATA,Thank you for applying to NTT DATA,2026-09-21,received,data_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
AutoZone,Your recent job application for AutoZone 2027 Summer Internship – Data Science - 155461 at AutoZone,2026-09-21,received,data_science,US,intern,True,MED,live but track=data_science,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Sokrati,Thanks for applying to Sokrati - part of dentsu international,2026-09-21,received,other,US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Indodana,Thank you for applying to Indodana,2026-09-21,received,software_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Persona,Thank you for your application to Persona,2026-09-21,received,software_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Clockwork,Thank you for applying to Clockwork.io!,2026-09-21,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Myworkday,Update Regarding Requisition Data & AI Solutions Trainee,2026-09-21,rejected,other,US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Raydar,Thanks for applying to Raydar,2026-09-21,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
National Journal,Thank you for your application to National Journal,2026-09-20,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Greenhouse-mail,"Perpay | Thank you for applying, Jaya!",2026-09-20,received,software_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Careers,"Application Update: Senior Director, Worldwide Commercial Category Lead, 200043126",2026-09-23,rejected,other,US,unknown,True,SKIP,already rejected,—
Crio,Get your profile ready for your next SDE role ,2026-09-23,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Myworkday,Thank  you for applying!,2026-09-23,rejected,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Myworkday,Application Received,2026-09-23,rejected,data_science,US,intern,True,MED,live but track=data_science,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Abnormal,Thank you for applying to Abnormal,2026-09-23,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Cadence,Thank you for applying to Cadence,2026-09-22,received,software_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Authentic,Thank you for applying to Authentic,2026-09-22,received,software_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Smartrecruiters,Junior AI Engineer (Open to remote) – Penguin Random House,2026-09-22,received,ai_ml_engineering,Remote-US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Applytojob,"Jaya Surya Sasank, we've received your application",2026-09-22,received,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Google,Thanks for applying to Google!,2026-09-22,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Bah,Thank you for applying,2026-09-22,received,software_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Chpk,Thank you for applying,2026-09-22,received,other,US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Johnson & Johnson,Thank you for your application for Commercial Data Science & AI Co-op at Johnson & Johnson,2026-09-22,received,data_science,US,intern,True,MED,live but track=data_science,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Lhm,Thank You For Applying,2026-09-22,received,data_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Ubisoft : Let us know how we did,Your experience at Ubisoft : Let us know how we did !,2026-09-25,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Snowflake,Thank you for applying to Snowflake | Software Engineer Intern (AI / ML) - Spring 2027,2026-09-25,received,software_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
ZipRecruiter,Thanks for your interest in ZipRecruiter!,2026-09-25,received,software_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Applovin,Thank you for applying to Applovin,2026-09-25,received,data_science,US,intern,True,MED,live but track=data_science,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Gmfinancial,Your recent job application for Intern - Data Engineer - 260821,2026-09-25,received,data_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Sertis has been received,Your application to Sertis has been received!,2026-09-25,received,data_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Pinpoint,Application Received,2026-09-24,received,ai_ml_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
N-ix,Thank you for your application!,2026-09-24,received,other,EU,intern,True,LOW,geo mismatch (EU),—
Klaviyo,Thank you for applying to Klaviyo,2026-09-24,rejected,ai_ml_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Invisible Technologies,Thank you for applying to Invisible Technologies!,2026-09-24,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
"Premier, Inc","Thank you for applying for the Software Engineer Intern opportunity at Premier, Inc.",2026-09-24,received,software_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Myworkday,"Application Status for 2027 Guardian Summer Intern, Digital & Technology – Data Engineering",2026-09-23,rejected,data_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Myworkday,"Application Status for 2027 Guardian Summer Intern, Digital & Technology – AI & Machine Learning",2026-09-23,rejected,ai_ml_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
